,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Evento ,Resultado,Acercar,Alejar,Situacion,Duración,Jornada,Local,Visitante,Tipo_de_Accion
103,MT Ofensivo,MT OFENSIVO 021,2433,2423,2441,10,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
104,MT Ofensivo,MT OFENSIVO 021,2433,2423,2441,16,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
105,MT Ofensivo,MT OFENSIVO 022,2620,2610,2628,1,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
106,MT Ofensivo,MT OFENSIVO 022,2620,2610,2628,8,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
107,MT Ofensivo,MT OFENSIVO 022,2620,2610,2628,10,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
108,MT Ofensivo,MT OFENSIVO 022,2620,2610,2628,14,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
109,MT Ofensivo,MT OFENSIVO 022,2620,2610,2628,15,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
110,MT Ofensivo,MT OFENSIVO 023,2696,2686,2703,1,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
111,MT Ofensivo,MT OFENSIVO 023,2696,2686,2703,7,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
112,MT Ofensivo,MT OFENSIVO 023,2696,2686,2703,10,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
113,MT Ofensivo,MT OFENSIVO 023,2696,2686,2703,14,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
114,MT Ofensivo,MT OFENSIVO 023,2696,2686,2703,15,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
115,MT Ofensivo,MT OFENSIVO 024,2720,2710,2729,1,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
116,MT Ofensivo,MT OFENSIVO 024,2720,2710,2729,7,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
117,MT Ofensivo,MT OFENSIVO 024,2720,2710,2729,9,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
118,MT Ofensivo,MT OFENSIVO 024,2720,2710,2729,14,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
119,MT Ofensivo,MT OFENSIVO 024,2720,2710,2729,15,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
120,MT Ofensivo,MT OFENSIVO 025,3304,3294,3315,1,Paralela,Negativo,,,,,16,Ferro,Boca Jrs,
121,MT Ofensivo,MT OFENSIVO 025,3304,3294,3315,4,Paralela,Negativo,,,,,16,Ferro,Boca Jrs,
122,MT Ofensivo,MT OFENSIVO 025,3304,3294,3315,7,Paralela,Negativo,,,,,16,Ferro,Boca Jrs,
123,MT Ofensivo,MT OFENSIVO 025,3304,3294,3315,9,Paralela,Negativo,,,,,16,Ferro,Boca Jrs,
124,MT Ofensivo,MT OFENSIVO 025,3304,3294,3315,15,Paralela,Negativo,,,,,16,Ferro,Boca Jrs,
125,MT Ofensivo,MT OFENSIVO 026,3440,3430,3446,1,,Negativo,,,,,16,Ferro,Boca Jrs,
126,MT Ofensivo,MT OFENSIVO 026,3440,3430,3446,4,,Negativo,,,,,16,Ferro,Boca Jrs,
127,MT Ofensivo,MT OFENSIVO 026,3440,3430,3446,7,,Negativo,,,,,16,Ferro,Boca Jrs,
128,MT Ofensivo,MT OFENSIVO 026,3440,3430,3446,9,,Negativo,,,,,16,Ferro,Boca Jrs,
129,MT Ofensivo,MT OFENSIVO 026,3440,3430,3446,15,,Negativo,,,,,16,Ferro,Boca Jrs,
130,MT Ofensivo,MT OFENSIVO 027,3447,3437,3455,1,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
131,MT Ofensivo,MT OFENSIVO 027,3447,3437,3455,4,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
132,MT Ofensivo,MT OFENSIVO 027,3447,3437,3455,7,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
133,MT Ofensivo,MT OFENSIVO 027,3447,3437,3455,9,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
134,MT Ofensivo,MT OFENSIVO 027,3447,3437,3455,15,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
135,MT Ofensivo,MT OFENSIVO 028,3513,3503,3520,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
136,MT Ofensivo,MT OFENSIVO 028,3513,3503,3520,5,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
137,MT Ofensivo,MT OFENSIVO 028,3513,3503,3520,6,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
138,MT Ofensivo,MT OFENSIVO 028,3513,3503,3520,10,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
139,MT Ofensivo,MT OFENSIVO 028,3513,3503,3520,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
140,MT Ofensivo,MT OFENSIVO 029,3642,3632,3655,1,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
141,MT Ofensivo,MT OFENSIVO 029,3642,3632,3655,5,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
142,MT Ofensivo,MT OFENSIVO 029,3642,3632,3655,6,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
143,MT Ofensivo,MT OFENSIVO 029,3642,3632,3655,10,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
144,MT Ofensivo,MT OFENSIVO 029,3642,3632,3655,14,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
145,MT Ofensivo,MT OFENSIVO 030,3719,3709,3731,1,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
146,MT Ofensivo,MT OFENSIVO 030,3719,3709,3731,5,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
147,MT Ofensivo,MT OFENSIVO 030,3719,3709,3731,6,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
148,MT Ofensivo,MT OFENSIVO 030,3719,3709,3731,10,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
149,MT Ofensivo,MT OFENSIVO 030,3719,3709,3731,14,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
150,MT Ofensivo,MT OFENSIVO 031,3787,3777,3794,1,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
151,MT Ofensivo,MT OFENSIVO 031,3787,3777,3794,5,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
152,MT Ofensivo,MT OFENSIVO 031,3787,3777,3794,6,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
153,MT Ofensivo,MT OFENSIVO 031,3787,3777,3794,10,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
154,MT Ofensivo,MT OFENSIVO 031,3787,3777,3794,14,Pivot,Negativo,,,,,16,Ferro,Boca Jrs,
155,MT Ofensivo,MT OFENSIVO 032,3796,3786,3810,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
156,MT Ofensivo,MT OFENSIVO 032,3796,3786,3810,5,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
157,MT Ofensivo,MT OFENSIVO 032,3796,3786,3810,6,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
158,MT Ofensivo,MT OFENSIVO 032,3796,3786,3810,10,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
159,MT Ofensivo,MT OFENSIVO 032,3796,3786,3810,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
160,MT Ofensivo,MT OFENSIVO 033,3865,3855,3875,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
161,MT Ofensivo,MT OFENSIVO 033,3865,3855,3875,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
162,MT Ofensivo,MT OFENSIVO 033,3865,3855,3875,7,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
163,MT Ofensivo,MT OFENSIVO 033,3865,3855,3875,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
164,MT Ofensivo,MT OFENSIVO 033,3865,3855,3875,14,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
165,MT Ofensivo,MT OFENSIVO 034,3903,3893,3910,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
166,MT Ofensivo,MT OFENSIVO 034,3903,3893,3910,5,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
